User-ID,ISBN,Book-Rating,Book-Title,totalRatingCount,Location,Age
276762,3453092007,8,Die zweite Haut.,2,germany,25.0
35433,3453092007,8,Die zweite Haut.,2,switzerland,40.0
222488,3499121581,9,Rubinroter Dschungel.,6,germany,29.0
227176,3499121581,7,Rubinroter Dschungel.,6,germany,27.0
167166,3499121581,7,Rubinroter Dschungel.,6,germany,44.0
75115,3499121581,8,Rubinroter Dschungel.,6,germany,31.0
219420,3499121581,9,Rubinroter Dschungel.,6,germany,29.0
12246,3499121581,10,Rubinroter Dschungel.,6,germany,15.0
159390,1853260207,6,Jane Eyre (Wordsworth Classics),9,germany,36.0
76626,1853260207,10,Jane Eyre (Wordsworth Classics),9,unitedkingdom,38.0
131686,1853260207,5,Jane Eyre (Wordsworth Classics),9,canada,27.0
48579,1853260207,10,Jane Eyre (Wordsworth Classics),9,usa,24.0
28492,1853260207,10,Jane Eyre (Wordsworth Classics),9,unitedkingdom,31.0
127131,1853260207,7,Jane Eyre (Wordsworth Classics),9,unitedkingdom,42.0
246863,1853260207,9,Jane Eyre (Wordsworth Classics),9,australia,24.0
212497,1853260207,10,Jane Eyre (Wordsworth Classics),9,usa,44.0
102375,1853260207,7,Jane Eyre (Wordsworth Classics),9,unitedkingdom,27.0
159390,3442426677,7,Die Grast?짚nzer.,2,germany,36.0
35407,3442426677,8,Die Grast?짚nzer.,2,germany,48.0
159390,3426771365,8,Nieten in Nadelstreifen. Deutschlands Manager im Zwielicht.,2,germany,36.0
35433,3426771365,5,Nieten in Nadelstreifen. Deutschlands Manager im Zwielicht.,2,switzerland,40.0
159390,3404117905,8,Die Insel der f?쩌nf Frauen. Roman.,3,germany,36.0
35486,3404117905,3,Die Insel der f?쩌nf Frauen. Roman.,3,germany,35.0
141203,3404117905,10,Die Insel der f?쩌nf Frauen. Roman.,3,germany,38.0
159390,3442452643,7,Bridget Jones. Am Rande des Wahnsinns.,8,germany,36.0
201548,3442452643,10,Bridget Jones. Am Rande des Wahnsinns.,8,germany,29.0
41700,3442452643,9,Bridget Jones. Am Rande des Wahnsinns.,8,switzerland,42.0
